CATEGORY,CORE,ARTWORK_PATH,BARCODE,GAME_PATH,GAME_NAME,METADATA
Data East,GENESIS,atomic-runner.jpg,13252014046,1 US - A-F/Atomic Runner (USA).md,,
Squaresoft,PSX,einhander.jpg,711719424321,Einhander (USA).cue,,
Namco,ARCADE,galaga.jpg,100000000007,"Galaga (Midway, Set 1).mra",Galaga,
Namco,ARCADE,mspacman.jpg,200000000004,_alternatives/_Ms.Pacman/Ms. Pac-man (speedup hack).mra,,
Namco,PSX,klonoa.jpg,722674020732,Klonoa - Door to Phantomile (USA).cue,,
Namco,ARCADE,gaplus.jpg,300000000001,Gaplus (GP2 Rev B).mra,Gaplus,
Namco,NES,gaplus-nes.png,400000000008,gaplus.nes,Gaplus (NES),
Namco,NES,pacman-ce.png,500000000005,pacman-ce.nes,Pac-Man Championship Edition,
Namco,ARCADE,mappy.jpg,600000000002,Mappy (US).mra,,
Namco,ARCADE,pacman.png,700000000009,Pac-Man (Midway).mra,,
Namco,NES,rolling-thunder.jpg,31763012122,2 Unlicensed - A-Z/1 Unlicensed L-R/Rolling Thunder (USA) (Unl).nes,Rolling Thunder (USA),
Namco,GENESIS,rolling-thunder-2.jpg,722674020114,1 US - Q-Z/Rolling Thunder 2 (USA).md,,
Namco,GENESIS,rolling-thunder-3.jpg,722674020213,1 US - Q-Z/Rolling Thunder 3 (USA).md,,
Namco,NES,star-wars-fc.jpg,4907892000360,4 Translations/English L-Z/Star Wars (J) (Namco) \[T+Eng_Mukimuki\&Shinta\].nes,Star Wars (Japan),
Neo Geo,NEOGEO,pulstar.jpg,4964808100866,1 World A-Z/Pulstar (pulstar).neo,Pulstar,
Neo Geo,NEOGEO,blazing-star.jpg,4964808101214,1 World A-Z/Blazing Star (blazstar).neo,Blazing Star,
Neo Geo,NEOGEO,viewpoint.jpg,724678245968,1 World A-Z/Viewpoint (viewpoin).neo,Viewpoint,
Neo Geo,NEOGEO,last-resort.png,800000000006,1 World A-Z/Last Resort (lresort).neo,Last Resort,
Neo Geo,NEOGEO,strikers-1945-plus.jpg,900000000003,1 World A-Z/Strikers 1945 Plus (s1945p).neo,Strikers 1945 Plus,
Compile,GENESIS,musha.png,716065811603,1 US - G-P/MUSHA - Metallic Uniframe Super Hybrid Armor (USA).md,,
Midway-Williams,ARCADE,defender.png,110000000006,Defender (Red Label).mra,Defender,
Midway-Williams,ARCADE,sinistar.jpg,120000000005,Sinistar.mra,,
Midway-Williams,ARCADE,robotron-2084.png,130000000004,Robotron 2084.mra,,
Midway-Williams,ARCADE,bubbles.png,140000000003,Bubbles.mra,,
Compile,SMS,r-type-sms.jpg,10086090024,1 US - A-Z/R-Type (World).sms,,
Compile,TGFX16,blazing-lazers.jpg,92218000422,1 TurboGrafx-16 - A-Z/Blazing Lazers (USA).pce,,
Compile,SNES,space-megaforce.jpg,91521100065,1 US - S/Space Megaforce (USA).sfc,,
Compile,SMS.GG,gg-aleste.png,4988161100400,2 Japan - A-Z/GG Aleste (Japan).gg ,GG Aleste,
Compile,SMS.GG,gg-aleste-ii.jpg,4974365133306,"2 Japan - A-Z/GG Aleste II ~ Power Strike II (Japan, Europe).gg",GG Aleste II,
Compile,SMS,power-strike.jpg,10086051094,"1 US - A-Z/Power Strike (USA, Europe, Brazil).sms",,
Compile,SMS,power-strike-ii.jpg,4974365635541,"2 Europe - A-Z/Power Strike II (Europe, Brazil).sms",,
Compile,GENESIS,dr-robotnik.png,10086017069,1 US - A-F/Dr. Robotnik\'s Mean Bean Machine (USA).md,,
Compile,TGFX16-CD,seirei.jpg,4988658911038,Seirei_Senshi_Spriggan_(NTSC-J)_[NXCD1004].cue,Seirei Senshi Spriggan,
Compile,NES,gun-nac.jpg,93992010607,1 US - G-Q/Gun Nac (USA).nes,,
Compile,PSX,zanac-x-zanac.jpg,4988161100813,Zanac X Zanac.cue,Zanac X Zanac,
Compile,TGFX16,devil-crush.jpg,92218000866,1 TurboGrafx-16 - A-Z/Devil\'s Crush (USA).pce,,
Compile,TGFX16,alien-crush.png,92218000378,1 TurboGrafx-16 - A-Z/Alien Crush (USA).pce,,
Namco,TGFX16,splatterhouse-pce.jpg,4907892031111,2 PC Engine - N-Z/Splatterhouse (Japan).pce,,
Namco,GENESIS,splatterhouse2.jpg,722674020138,1 US - Q-Z/Splatterhouse 2 (USA).md,,
Namco,GENESIS,splatterhouse3.jpg,722674020206,1 US - Q-Z/Splatterhouse 3 (USA).md,,
Namco,NES,splatterhouse-graffiti.jpg,4907892000643,2 Japan - A-Z/Japan P-S/Splatterhouse - Wanpaku Graffiti (Japan).nes,,
Namco,GENESIS,phelios.jpg,722674020015,1 US - G-P/Phelios (USA).md,,
Namco,ARCADE,grobda.png,150000000002,"Grobda (W, New Ver.).mra",,
Namco,PSX,mr-driller.jpg,722674020992,Mr. Driller.cue,,
